Home Type,Home Size,Number of Occupants,Energy Type,Monthly Electricity Bill,CO2 Emissions (kg)
Detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,Under $50,2400
Detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,$50-$100,2440
Detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,$100-$150,2610
Detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,$150-$200,2780
Detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,Over $200,3100
Detached house,Under 1000 sq. ft.,1 Occupant,Electricity,Under $50,200
Detached house,Under 1000 sq. ft.,1 Occupant,Electricity,$50-$100,400
Detached house,Under 1000 sq. ft.,1 Occupant,Electricity,$100-$150,1200
Detached house,Under 1000 sq. ft.,1 Occupant,Electricity,$150-$200,1700
Detached house,Under 1000 sq. ft.,1 Occupant,Electricity,Over $200,2300
Detached house,Under 1000 sq. ft.,1 Occupant,Oil,Under $50,2100
Detached house,Under 1000 sq. ft.,1 Occupant,Oil,$50-$100,5200
Detached house,Under 1000 sq. ft.,1 Occupant,Oil,$100-$150,6100
Detached house,Under 1000 sq. ft.,1 Occupant,Oil,$150-$200,7200
Detached house,Under 1000 sq. ft.,1 Occupant,Oil,Over $200,8200
Detached house,Under 1000 sq. ft.,1 Occupant,Propane,Under $50,2870
Detached house,Under 1000 sq. ft.,1 Occupant,Propane,$50-$100,4400
Detached house,Under 1000 sq. ft.,1 Occupant,Propane,$100-$150,5400
Detached house,Under 1000 sq. ft.,1 Occupant,Propane,$150-$200,6400
Detached house,Under 1000 sq. ft.,1 Occupant,Propane,Over $200,7400
Detached house,Under 1000 sq. ft.,1 Occupant,Wood,Under $50,2170
Detached house,Under 1000 sq. ft.,1 Occupant,Wood,$50-$100,2340
Detached house,Under 1000 sq. ft.,1 Occupant,Wood,$100-$150,2510
Detached house,Under 1000 sq. ft.,1 Occupant,Wood,$150-$200,2680
Detached house,Under 1000 sq. ft.,1 Occupant,Wood,Over $200,3000
Detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,Under $50,2600
Detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,$50-$100,2640
Detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,$100-$150,2810
Detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,$150-$200,2980
Detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,Over $200,3100
Detached house,Under 1000 sq. ft.,2 Occupants,Electricity,Under $50,250
Detached house,Under 1000 sq. ft.,2 Occupants,Electricity,$50-$100,500
Detached house,Under 1000 sq. ft.,2 Occupants,Electricity,$100-$150,1450
Detached house,Under 1000 sq. ft.,2 Occupants,Electricity,$150-$200,1900
Detached house,Under 1000 sq. ft.,2 Occupants,Electricity,Over $200,2500
Detached house,Under 1000 sq. ft.,2 Occupants,Oil,Under $50,2650
Detached house,Under 1000 sq. ft.,2 Occupants,Oil,$50-$100,5400
Detached house,Under 1000 sq. ft.,2 Occupants,Oil,$100-$150,6250
Detached house,Under 1000 sq. ft.,2 Occupants,Oil,$150-$200,7400
Detached house,Under 1000 sq. ft.,2 Occupants,Oil,Over $200,8400
Detached house,Under 1000 sq. ft.,2 Occupants,Propane,Under $50,3470
Detached house,Under 1000 sq. ft.,2 Occupants,Propane,$50-$100,4600
Detached house,Under 1000 sq. ft.,2 Occupants,Propane,$100-$150,5600
Detached house,Under 1000 sq. ft.,2 Occupants,Propane,$150-$200,6600
Detached house,Under 1000 sq. ft.,2 Occupants,Propane,Over $200,7600
Detached house,Under 1000 sq. ft.,2 Occupants,Wood,Under $50,2370
Detached house,Under 1000 sq. ft.,2 Occupants,Wood,$50-$100,2540
Detached house,Under 1000 sq. ft.,2 Occupants,Wood,$100-$150,2710
Detached house,Under 1000 sq. ft.,2 Occupants,Wood,$150-$200,2880
